id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7311,Christopher Carl Singleton Jr.,"
(Carl)
",148,4.1,3.2,0.6,37.6,31.9,8.2,2.3
7312,James Singleton,,243,3.9,3.7,0.4,46.2,29.2,14.0,8.1
7313,McKinley Singleton,,2,2.0,0.0,0.5,66.7,0.0,13.3,0.0
7314,Emilio Joseph Sinicola,,12,1.1,0.2,0.3,25.0,37.5,-3.4,-0.2
7315,Deividas Sirvydis,,23,1.9,1.5,0.3,30.0,31.4,4.7,-0.1
7316,Charles E. Sitton,,43,2.1,1.4,0.6,41.5,0.0,8.0,0.1
7317,Peyton Robert Siva Jr.,,24,2.3,0.6,1.4,31.6,28.0,5.7,-0.2
7318,Scott Allen Skiles,"
(Spunk)
",600,11.1,2.5,6.5,43.5,37.9,14.4,30.4
7319,Albert Lee Skinner Jr.,,337,9.1,3.3,2.8,45.2,27.3,13.8,13.2
7320,Brian Skinner,"
(B-Skin)
",608,4.7,4.7,0.5,49.4,33.3,12.0,15.8
7321,Talvin Skinner,,145,4.6,4.2,1.0,43.4,63.3,9.5,3.4
7322,Myer Upton Skoog,,341,8.2,3.3,2.6,38.8,79.9,11.0,14.3
7323,Jeffrey Alan Slade,,3,1.3,2.3,0.0,40.0,0.0,5.8,0.0
7324,Reginald Dwayne Slater,,259,5.6,3.0,0.6,48.4,0.0,13.7,5.3
7325,James Walker Slaughter,,28,5.3,5.3,0.9,32.1,60.3,10.1,-0.1
7326,Jose Dan Slaughter,,63,3.6,1.1,0.8,37.4,22.0,10.5,-0.1
7327,Tamar Ulysses Slay,,66,2.6,1.1,0.5,36.1,26.5,6.5,-0.3
7328,Donald Wayne Sloan,,218,5.5,2.1,3.0,40.9,31.0,11.9,4.0
7329,Gerald Eugene Sloan,"
(Spider, The Original Bull, Charley Hustle)
",755,14.0,7.4,2.5,42.7,72.2,13.2,49.5
7330,Uroš Slokar,,20,1.9,0.7,0.1,53.8,50.0,13.9,0.1
7331,Tom Griffin Sluby,,31,2.4,0.4,0.5,51.7,0.0,12.2,0.2
7332,Alen Smailagić,,29,3.0,1.5,0.6,46.3,30.4,12.4,0.3
7333,Javonte Dedrick Smart,,17,3.0,1.4,0.9,31.7,29.6,5.1,-0.2
7334,Jonathan Keith Smart,,2,1.0,0.5,1.0,0.0,0.0,0.0,0.0
7335,Marcus Osmond Smart,"
(Cobra, Wolverine)
",581,10.6,3.5,4.6,38.6,32.3,12.4,33.3
7336,Belus Van Smawley,,261,12.7,2.8,2.3,34.7,79.7,3.1,22.9
7337,Arthur John Smiley,,118,6.2,-,2.5,25.6,67.9,-,0.6
7338,Adrian Howard Smith,"
(Odie)
",772,11.3,2.1,2.3,43.0,18.2,12.2,33.2
7339,Alan Richard Smith,,337,9.8,2.6,5.3,40.7,29.2,10.9,11.1
7340,William F. Smith,,9,2.6,1.8,0.8,24.2,87.5,5.7,-0.2
7341,Robert Smith,"
(Bobby)
",865,12.6,4.2,2.0,44.9,28.4,14.1,33.3
7342,Robert Joseph Smith,,13,2.8,2.5,1.1,23.6,68.8,6.7,-0.3
7343,Charles Daniel Smith,"
(Mr. Fluid)
",564,14.4,5.8,1.4,47.5,19.4,15.7,40.9
7344,Charles Edward Smith IV,,73,2.5,1.0,1.6,43.3,0.0,11.9,0.9
7345,Charles Cornelius Smith,,142,5.1,1.4,0.9,40.9,28.8,11.5,1.5
7346,Chris G. Smith,,224,5.1,1.3,2.8,43.5,36.6,10.7,3.2
7347,Chris Smith,,2,0.0,0.0,0.0,-,-,0.0,0.0
